listing_id,url,category,scraped_at,price_azn,currency,price_per_m2,rooms,area_m2,floor,total_floors,building_type,repair_status,district,metro_station,city,address,latitude,longitude,posted_date,description,agent_name,error
1993777,https://homdom.az/offer/1993777,kiraye,2026-02-27T16:08:04,500.0,AZN,4.55,3,110.0,6,7,yeni tikili,,Xırdalan,Xırdalan,Baku,"Kirayə verilir 3 otaqlı yeni tikili, 110 m², Xırdalan",,,1 gün əvvəl,🏡✨ Kirayə Mənzil – Heydər Parkının Düz Yanında! ✨🏡,Murad Ehmedov,
1989486,https://homdom.az/offer/1989486,kiraye,2026-02-27T16:08:05,1400.0,AZN,5.83,1,240.0,,,,,Nərimanov,Dərnəgül m.,Baku,"240 kv.m. obyekt icarəyə verilir, Dərnəgül m.",,,5 gün əvvəl,"Sahəsi - 240 kv metr, Darvazasının hündürlüyü - 4 metr, 24 saat kamera və mühafizə nəzarəti altında.",Fərid,
1989467,https://homdom.az/offer/1989467,kiraye,2026-02-27T16:08:05,800.0,AZN,6.67,3,120.0,9,17,yeni tikili,,Səbail,Bayıl,Baku,"Kirayə verilir 3 otaqlı yeni tikili, 120 m², Bayıl",,,5 gün əvvəl,Bayıl qəsəbəsi Jurnalistlərin binasında yeni tikili binada 3 otaqlı təmirli əşyalı mənzil satılır.Qazı suyu işığı daimdir.,Cəlal,
1990944,https://homdom.az/offer/1990944,kiraye,2026-02-27T16:08:06,700.0,AZN,10.0,3,70.0,3,4,köhnə tikili,,Nərimanov,Nəriman Nərimanov m.,Baku,"Kirayə verilir 3 otaqlı köhnə tikili, 70 m², Nəriman Nərimanov m.",,,3 gün əvvəl,NƏRİMANOV MONTİN NƏRİMANOV METROSUNA VƏ PARKA YAXIN 3 OTAQLI MƏNZİL KİRAYƏ VERİLİR MƏNZİL TAM TƏMİRLİ MƏNZİLDİR MƏNZİLİN İSTİLİK SİSTEMİ KOMBİDİR MƏNZİLİN YAXINLIGINDA MƏKTƏB BAXÇA XƏSTƏXANA PARK MAGAZA MARKETLƏR FƏALİYYƏT GÖSTƏRİR,Şəhriyar bəy,
1981119,https://homdom.az/offer/1981119,kiraye,2026-02-27T16:08:07,380.0,AZN,4.75,3,80.0,6,12,yeni tikili,,Sumqayıt,Sumqayıt,Baku,"Kirayə verilir 3 otaqlı yeni tikili, 80 m², Sumqayıt",,,1 həftə əvvəl,Bura.kiraya.veril.sumqaylt..daniz.kanari.bulvda..3.otaq.tam.super.tamirli.bos.Evdi.Quxna.var.kombsi.var.Qiymti.380.Azen.,Elan sahibi,
1966837,https://homdom.az/offer/1966837,kiraye,2026-02-27T16:08:07,700.0,AZN,8.97,2,78.0,3,20,yeni tikili,,Yasamal,İnşaatçılar m.,Baku,"Kirayə verilir 2 otaqlı yeni tikili, 78 m², İnşaatçılar m.",,,3 həftə əvvəl,"ev ozumundur. maklerlere faiz verilmir.qarwi terefden goturmek serti ile iwleye bilerler.m insaatcilara 5deq mesafede 2otaqli menzil kiraye verilir.oz evimdir maklere faiz verilmir.700m sondur,depozit 150m alinacaq.komendantpulu 23manat kirayeci odeyir OGLANLARA KIRAYE VERILIR.",sahib,
1986662,https://homdom.az/offer/1986662,kiraye,2026-02-27T16:08:08,550.0,AZN,9.17,2,60.0,5,5,köhnə tikili,,Sabunçu,Bakıxanov (Razin),Baku,"Kirayə verilir 2 otaqlı köhnə tikili, 60 m², Bakıxanov (Razin)",,,1 həftə əvvəl,"🔥 PREMİUM ELAN 🔥 🏢 Razində Talkuçkanın yanında 2 otaqlı super təmirli mənzil kirayə verilir! 📍 Əla yerləşmə – Razin (Bakıxanov) ərazisində, Talkuçkaya yaxın 🏠 2 otaqlı ✨ Super təmirli 🔥 Qaz, 💧 su, 💡 işıq – daimi 🌐 Wi-Fi mövcuddur 💰 Depozit: 100 AZN 💵 İlk ay: 550 AZN 💵 Sonrakı aylar: 520 AZN 📌 Ofis haqqı: 30% Ətraflı məlumat üçün əlaqə saxlayın. Tələsin, bu qiymətə belə mənzil uzun müddət boş qalmır! 🚀",Abbas,
1989546,https://homdom.az/offer/1989546,kiraye,2026-02-27T16:08:09,1400.0,AZN,11.2,3,125.0,15,17,yeni tikili,,Yasamal,Elmlər Akademiyası m.,Baku,"Kirayə verilir 3 otaqlı yeni tikili, 125 m², Elmlər Akademiyası m.",,,5 gün əvvəl,Elmlər Akademiyası metrosunun cixisinda super təmirli və əşyalı mənzil. Xidmət haqqı 30%,Cəmilə Xanım,
1988284,https://homdom.az/offer/1988284,kiraye,2026-02-27T16:08:10,900.0,AZN,8.33,2,108.0,4,17,yeni tikili,,Nəsimi,8 noyabr,Baku,"Kirayə verilir 2 otaqlı yeni tikili, 108 m², 8 noyabr",,,6 gün əvvəl,"Depozit: 900 AZN (tələb olunur). 8 Noyabr metrosu yaxınlığında, İmprotex Motors yanında yerləşən yeni tikili binada qanuni 2 otaqlı mənzil kirayə verilir.",Fəridə x.,
1992994,https://homdom.az/offer/1992994,kiraye,2026-02-27T16:08:10,550.0,AZN,10.0,2,55.0,2,9,köhnə tikili,,Suraxanı,Suraxanı,Baku,"Kirayə verilir 2 otaqlı köhnə tikili, 55 m², Suraxanı",,,1 gün əvvəl,Yeni günəsli V masivi Atila hamamin yani 9 mertebeli binanin 2 ci mertebesi tam əşyali təmirli mənzildi,Cəmil,
